epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.518,2.1616,2.25026,1.36458,0.0239,0.76258,0.24273,0.11485,1.8808,2.87891,1.23183,0.000648649,0.000648649,0.000648649
2,389.64,2.03825,1.55038,1.30358,0.91996,0.04025,0.09191,0.05204,2.07683,3.02424,1.57709,0.00125021,0.00125021,0.00125021
3,574.803,2.04934,1.4939,1.32131,0.45094,0.3377,0.31608,0.13612,2.0944,2.11871,1.4215,0.00178577,0.00178577,0.00178577
4,773.413,2.01065,1.41567,1.2884,0.68863,0.61721,0.65562,0.25967,1.96614,1.44198,1.33671,0.001703,0.001703,0.001703
5,956.207,2.06328,1.40336,1.32075,0.65461,0.59252,0.62847,0.24106,2.01335,1.65899,1.39659,0.001604,0.001604,0.001604
6,1130.58,2.01803,1.34554,1.29207,0.69994,0.63207,0.68488,0.30035,1.89464,1.27684,1.31492,0.001505,0.001505,0.001505
7,1338.65,1.96417,1.30752,1.26176,0.63213,0.63963,0.63384,0.26964,1.89645,1.32556,1.29068,0.001406,0.001406,0.001406
8,1525.8,1.98802,1.26747,1.28,0.73983,0.66938,0.73481,0.31395,1.88762,1.23232,1.29002,0.001307,0.001307,0.001307
9,1716.35,1.94354,1.23663,1.24986,0.72479,0.66028,0.71751,0.28557,1.97797,1.19246,1.35665,0.001208,0.001208,0.001208
10,1891.75,1.94562,1.21304,1.26121,0.7249,0.6572,0.72313,0.30508,1.94587,1.16505,1.31498,0.001109,0.001109,0.001109
11,2068.24,1.93552,1.2375,1.27664,0.74228,0.68488,0.75982,0.32751,1.87486,1.13334,1.29219,0.00101,0.00101,0.00101
12,2248.92,1.91279,1.20853,1.27024,0.69018,0.60387,0.67031,0.28153,1.92514,1.23243,1.305,0.000911,0.000911,0.000911
13,2427.98,1.9072,1.17097,1.27195,0.75532,0.70359,0.765,0.32623,1.89784,1.10055,1.30442,0.000812,0.000812,0.000812
14,2603.62,1.93194,1.17976,1.26196,0.74028,0.72092,0.77178,0.33776,1.83282,1.14071,1.27359,0.000713,0.000713,0.000713
15,2784.52,1.91858,1.23693,1.26243,0.72048,0.66194,0.73704,0.34373,1.79311,1.08744,1.26262,0.000614,0.000614,0.000614
16,2955.64,1.88663,1.14065,1.25305,0.75832,0.71198,0.7752,0.35619,1.81403,1.03771,1.25581,0.000515,0.000515,0.000515
17,3131.54,1.89905,1.12953,1.24885,0.76108,0.71521,0.78933,0.36276,1.77687,1.0793,1.24129,0.000416,0.000416,0.000416
18,3320.13,1.87649,1.12841,1.23956,0.77308,0.67696,0.76314,0.3627,1.76869,1.0547,1.23304,0.000317,0.000317,0.000317
19,3494.17,1.82859,1.09368,1.24068,0.78284,0.73917,0.80588,0.37475,1.76294,0.99477,1.2298,0.000218,0.000218,0.000218
20,3670.05,1.85913,1.08444,1.22769,0.77472,0.73696,0.80144,0.3775,1.75502,0.98781,1.22681,0.000119,0.000119,0.000119
